eirzoningmodcat,modcat_id,FREQUENCY,SUM_ACRES,manual_county,juris,gg_id,tra_id,sesit_id,coc_id,ppa_id,exp2020_id,ex_res_bldg,add_bldg,drop_bldg,dua_up,far_up,dua_down,far_down,subsidy,res_rent_cat,job_out_cat
brentwoodNANADISNANAinNA,24,1792,3305.90103712,13,brentwood,,,DIS,,,in,,,,,,,,,,
brentwoodNANANANANAinres,25,2180,307.487299902,13,brentwood,,,,,,in,res,,,,,,,,,
unincorporated_sonomaNANADISNANAoutNA,26,6419,355185.376737,97,unincorporated_sonoma,,,DIS,,,out,,,,,,0.0,0.0,,,
santa_rosaNANADISNANAinNA,27,2379,5358.654533,97,santa_rosa,,,DIS,,,in,,,,,,,,,,
rohnert_parkNANADISNANAinNA,28,341,1046.66528993,97,rohnert_park,,,DIS,,,in,,,,,,,,,,
unincorporated_marinNANAHRANANAoutNA,29,122,7626.40320507,41,unincorporated_marin,,,HRA,,,out,,,,,,0.0,0.0,,,
richmondNANADISNANAinNA,30,803,9645.88470566,13,richmond,,,DIS,,,in,,,,,,,,,,
antiochNANADISNANAinres,31,18972,3419.45747802,13,antioch,,,DIS,,,in,res,,,,,,,,,
unincorporated_sonomaNANAHRANANAoutNA,32,1212,74156.3831103,97,unincorporated_sonoma,,,HRA,,,out,,,,,,0.0,0.0,,,
pleasantonNANAHRADISNANAinNA,33,213,1275.32589292,1,pleasanton,,,HRADIS,,,in,,,,,,,,,,
pittsburgNANANANANAinNA,34,854,1645.26882237,13,pittsburg,,,,,,in,,,,,,,,,,
unincorporated_contra_costaNANAHRADISNANAinunres,35,11880,5090.43379756,13,unincorporated_contra_costa,,,HRADIS,,,inun,res,HS,,2.0,,,,,,
pittsburgNANANANANAinres,36,2196,390.762656451,13,pittsburg,,,,,,in,res,,,,,,,,,
orindaNANAHRANANAinNA,37,580,2643.75382387,13,orinda,,,HRA,,,in,,,,,,,,,,
fremontGGtra2aHRANANAinNA,38,993,573.865869229,1,fremont,GG,tra2a,HRA,,,in,,HM,,100.0,,,,,,fre
livermoreGGtra3HRANANAinNA,39,200,58.1369882281,1,livermore,GG,tra3,HRA,,,in,,HM,,50.0,,,,,,
alamedaGGtra3HRANANAinNA,40,974,310.216132224,1,alameda,GG,tra3,HRA,,,in,,HM,,50.0,,,,,,
napaNANADISNANAinNA,41,709,963.090189341,55,napa,,,DIS,,,in,,,,,,,,,,
herculesGGNADISNANAinres,42,504,44.1556424469,13,hercules,GG,,DIS,,,in,res,,,35.0,,,,,,
newarkNANADISNANAinNA,43,382,3219.37102919,1,newark,,,DIS,,,in,,,,,,,,,,
unincorporated_alamedaNANADISNANAoutNA,44,774,80232.2960293,1,unincorporated_alameda,,,DIS,,,out,,,,,,0.0,0.0,,,
unincorporated_contra_costaNANAHRANANAinunNA,45,558,2009.33658963,13,unincorporated_contra_costa,,,HRA,,,inun,,HS,,2.0,,,,,,
martinezNANADISNANAinNA,46,422,1557.98047015,13,martinez,,,DIS,,,in,,,,,,,,,,
richmondNANADISNANAinres,47,4341,848.043895364,13,richmond,,,DIS,,,in,res,,,,,,,,,
antiochNANADISNANAinNA,48,2082,7912.57697758,13,antioch,,,DIS,,,in,,,,,,,,,,
fremontGGNAHRADISNANAinNA,49,351,219.821728261,1,fremont,GG,,HRADIS,,,in,,HM,,75.0,,,,,,
oakleyNANADISNANAinres,50,8031,2062.55358269,13,oakley,,,DIS,,,in,res,,,,,,,,,
danvilleNANAHRADISNANAinres,51,11125,4098.04467228,13,danville,,,HRADIS,,,in,res,,,,,,,,,
unincorporated_marinNANANANANAoutNA,52,262,61678.0235873,41,unincorporated_marin,,,,,,out,,,,,,0.0,0.0,,,
fremontGGtra3DISNANAinNA,53,171,21.7484310695,1,fremont,GG,tra3,DIS,,,in,,HM,,35.0,,,,,,
alamedaGGtra3HRADISNANAinNA,54,1277,245.999844268,1,alameda,GG,tra3,HRADIS,,,in,,HM,,50.0,,,,,,
alamedaNAtra3HRANANAinNA,55,277,521.005162302,1,alameda,,tra3,HRA,,,in,,,,,,,,,,
fremontNANAHRADISNANAoutNA,56,109,6628.25630187,1,fremont,,,HRADIS,,,out,,,,,,0.0,0.0,,,
pleasantonGGtra3HRANANAinNA,57,434,562.098509063,1,pleasanton,GG,tra3,HRA,,,in,,HM,,50.0,,,,,,
santa_rosaNANANANANAinres,58,4446,1013.36725712,97,santa_rosa,,,,,,in,res,,,,,,,,,
brentwoodGGNANANANAinNA,59,38,83.5679553384,13,brentwood,GG,,,,,in,,,,35.0,,,,,,
martinezNANANANANAinNA,60,442,969.986402597,13,martinez,,,,,,in,,,,,,,,,,
herculesGGtra3DISNANAinres,61,255,23.1760134944,13,hercules,GG,tra3,DIS,,,in,res,HM,,35.0,,,,,,
danvilleNANAHRADISNANAinNA,62,909,4790.14465835,13,danville,,,HRADIS,,,in,,,,,,,,,,
san_ramonNANAHRADISNANAinNA,63,1057,4420.425684,13,san_ramon,,,HRADIS,,,in,,,,,,,,,,
san_franciscoNANAHRANANAinres,64,1,1505.60177254,75,san_francisco,,,HRA,,,in,res,,,,,,,,,
healdsburgNANADISNANAexp1_npNA,65,1,1.84318490193,97,healdsburg,,,DIS,,,exp1_np,,,,,,0.0,0.0,,,
unincorporated_alamedaNANAHRADISNANAinunNA,66,1343,1485.38859404,1,unincorporated_alameda,,,HRADIS,,,inun,,HS,,2.0,,,,,,
antiochNANADISCoCNAinres,67,2930,543.737059732,13,antioch,,,DIS,CoC,,in,res,,,,,,,,,
pittsburgNANADISNANAinNA,68,131,407.887078554,13,pittsburg,,,DIS,,,in,,,,,,,,,,
concordGGNADISNANAinNA,69,42,216.484539314,13,concord,GG,,DIS,,,in,,,,35.0,,,,,,
newarkGGNAHRADISNANAinNA,70,352,282.551961579,1,newark,GG,,HRADIS,,,in,,HM,,75.0,,,,,,
sunnyvaleGGtra3HRANANAinres,71,4016,718.459942827,85,sunnyvale,GG,tra3,HRA,,,in,res,HM,,75.0,,,,,,
pittsburgGGNANACoCNAinNA,72,520,415.204064708,13,pittsburg,GG,,,CoC,,in,,,,35.0,,,,,,
pittsburgNANADISNANAinres,73,2425,543.747406086,13,pittsburg,,,DIS,,,in,res,,,,,,,,,
pleasantonNAtra3HRANANAinres,74,5689,1176.8220829,1,pleasanton,,tra3,HRA,,,in,res,,,,,,,,,
brentwoodNAtra3DISNANAinNA,75,230,154.739484568,13,brentwood,,tra3,DIS,,,in,,,,,,,,,,
unincorporated_marinNANAHRANANAinunres,76,4747,2908.29095948,41,unincorporated_marin,,,HRA,,,inun,res,HS,,2.0,,,,,,
claytonGGNAHRADISNANAinNA,77,118,172.738046225,13,clayton,GG,,HRADIS,,,in,,HM,,50.0,,,,,,
unincorporated_marinNANADISNANAoutNA,78,1193,197344.972088,41,unincorporated_marin,,,DIS,,,out,,,,,,0.0,0.0,,,
unincorporated_sonomaNANANANANAoutres,79,5384,17727.8152592,97,unincorporated_sonoma,,,,,,out,res,,,,,0.0,0.0,,,
daly_cityGGtra3HRANANAinNA,80,42,58.2380489963,81,daly_city,GG,tra3,HRA,,,in,,HM,,50.0,,,,,,
rio_vistaNANAHRADISNANAinNA,81,441,1308.32958359,95,rio_vista,,,HRADIS,,,in,,,,,,,,,,
oaklandNANAHRADISNANAinNA,82,523,1288.83078969,1,oakland,,,HRADIS,,,in,,,,,,,,,,
pittsburgNANANACoCNAinres,83,3506,583.601340065,13,pittsburg,,,,CoC,,in,res,,,,,,,,,
lafayetteNANAHRANANAinNA,84,589,2937.03193389,13,lafayette,,,HRA,,,in,,,,,,,,,,
san_ramonGGNAHRADISNANAinNA,85,226,476.609070051,13,san_ramon,GG,,HRADIS,,,in,,HM,,50.0,,,,,,
unincorporated_sonomaNANANANANAoutNA,86,2669,118402.405468,97,unincorporated_sonoma,,,,,,out,,,,,,0.0,0.0,,,
oaklandNANANACoCNAinNA,87,123,316.664276095,1,oakland,,,,CoC,,in,,,,,,,,,,
brentwoodNAtra3DISNANAinres,88,775,124.421666037,13,brentwood,,tra3,DIS,,,in,res,,,,,,,,,
unincorporated_alamedaNANAHRANANAoutNA,89,543,7960.58565053,1,unincorporated_alameda,,,HRA,,,out,,,,,,0.0,0.0,,,
unincorporated_sonomaNANAHRADISNANAexpmax_npNA,90,21,366.288974167,97,unincorporated_sonoma,,,HRADIS,,,expmax_np,,,,,,0.0,0.0,,,
san_pabloNANANACoCNAinNA,91,201,62.4200064336,13,san_pablo,,,,CoC,,in,,,,,,,,,,
walnut_creekNANAHRANANAinNA,92,511,2217.67539341,13,walnut_creek,,,HRA,,,in,,,,,,,,,,
walnut_creekNANAHRADISNANAinNA,93,362,3096.33027022,13,walnut_creek,,,HRADIS,,,in,,,,,,,,,,
herculesNAtra3DISNANAinNA,94,121,224.323766985,13,hercules,,tra3,DIS,,,in,,,,,,,,,,
unincorporated_sonomaNANAHRADISNANAoutres,95,4290,9017.9071214,97,unincorporated_sonoma,,,HRADIS,,,out,res,,,,,0.0,0.0,,,
unincorporated_sonomaNANAHRANANAexp3_auNA,96,196,3675.05398926,97,unincorporated_sonoma,,,HRA,,,exp3_au,,,,,,0.0,0.0,,,
richmondGGtra3DISNANAinNA,97,341,394.384033351,13,richmond,GG,tra3,DIS,,,in,,HM,,35.0,,,,,,
richmondGGtra3DISNANAinres,98,1025,128.800071435,13,richmond,GG,tra3,DIS,,,in,res,HM,,35.0,,,,,,
concordNANADISNANAinres,99,18838,3868.32996923,13,concord,,,DIS,,,in,res,,,,,,,,,
oakleyNANADISCoCNAinres,100,1700,340.725430264,13,oakley,,,DIS,CoC,,in,res,,,,,,,,,
pleasant_hillNANAHRADISNANAinres,101,776,186.784004874,13,pleasant_hill,,,HRADIS,,,in,res,,,,,,,,,
martinezNANADISNANAinres,102,3198,873.935041529,13,martinez,,,DIS,,,in,res,,,,,,,,,
pittsburgGGNANACoCNAinres,103,1909,244.950089334,13,pittsburg,GG,,,CoC,,in,res,,,,,,,,,
fremontNANAHRANANAinres,104,15085,2602.44543795,1,fremont,,,HRA,,,in,res,,,,,,,,,
fremontNANAHRADISNANAinres,105,19484,3932.32332231,1,fremont,,,HRADIS,,,in,res,,,,,,,,,
union_cityGGtra3NANANAinNA,106,140,215.823636376,1,union_city,GG,tra3,,,,in,,HM,,35.0,,,,,,
san_franciscoGGtra1HRANANAinNA,107,224,159.315393874,75,san_francisco,GG,tra1,HRA,,,in,,HM,,125.0,,,,,,
brisbaneGGNANANANAinNA,108,83,475.451853064,81,brisbane,GG,,,,,in,,,,35.0,,,,,,
unincorporated_sonomaNANADISNANAoutres,109,12431,39045.1157749,97,unincorporated_sonoma,,,DIS,,,out,res,,,,,0.0,0.0,,,
alamedaGGtra3NANANAinNA,110,404,362.393082304,1,alameda,GG,tra3,,,,in,,HM,,35.0,,,,,,
cloverdaleNANAHRANANAinNA,111,113,136.226079881,97,cloverdale,,,HRA,,,in,,,,,,,,,,
pleasantonNANAHRANANAoutNA,112,23,914.30286926,1,pleasanton,,,HRA,,,out,,,,,,0.0,0.0,,,
claytonNANAHRADISNANAinNA,113,190,987.447107191,13,clayton,,,HRADIS,,,in,,,,,,,,,,
pleasantonNANAHRADISNANAinres,114,1427,512.854828912,1,pleasanton,,,HRADIS,,,in,res,,,,,,,,,
san_leandroGGtra3NANANAinNA,115,234,79.7947016513,1,san_leandro,GG,tra3,,,,in,,HM,,35.0,,,,,,
union_cityNANANANANAinNA,116,132,69.959556755,1,union_city,,,,,,in,,,,,,,,,,
richmondGGtra3NACoCNAinNA,117,609,457.824737533,13,richmond,GG,tra3,,CoC,,in,,HM,,35.0,,,,,,
san_franciscoGGtra2cDISCoCNAinNA,118,230,219.308529405,75,san_francisco,GG,tra2c,DIS,CoC,,in,,HM,,55.0,,,,,,
unincorporated_contra_costaGGtra2aDISNANAinunNA,119,38,57.0375546917,13,unincorporated_contra_costa,GG,tra2a,DIS,,,inun,,HS,,2.0,,,,,,
livermoreNANAHRANANAinNA,120,336,237.669409987,1,livermore,,,HRA,,,in,,,,,,,,,,
walnut_creekNAtra3HRANANAinres,121,298,113.78229145,13,walnut_creek,,tra3,HRA,,,in,res,,,,,,,,,
livermoreNAtra3NANANAinNA,122,676,1275.78093971,1,livermore,,tra3,,,,in,,,,,,,,,,
pleasantonNAtra3HRANANAinNA,123,1282,1609.72435909,1,pleasanton,,tra3,HRA,,,in,,,,,,,,,,
pleasantonNANAHRANANAinNA,124,223,864.675762917,1,pleasanton,,,HRA,,,in,,,,,,,,,,
richmondGGNANACoCNAinNA,125,783,588.103047148,13,richmond,GG,,,CoC,,in,,,,35.0,,,,,,
richmondNAtra3NACoCNAinres,126,2389,290.526005737,13,richmond,,tra3,,CoC,,in,res,,,,,,,,,
san_ramonGGNAHRANANAinNA,127,268,883.618824466,13,san_ramon,GG,,HRA,,,in,,HM,,50.0,,,,,,
san_pabloGGtra3NACoCNAinNA,128,358,189.386118526,13,san_pablo,GG,tra3,,CoC,,in,,HM,,35.0,,,,,,
unincorporated_contra_costaNANANANANAinunNA,129,568,1265.8931336,13,unincorporated_contra_costa,,,,,,inun,,HS,,2.0,,,,,,
walnut_creekGGtra2aHRADISNANAinres,130,155,37.7215933223,13,walnut_creek,GG,tra2a,HRADIS,,,in,res,HM,,75.0,,,,,,
san_franciscoNAtra3HRANANAinNA,131,340,460.653773139,75,san_francisco,,tra3,HRA,,,in,,,,,,,,,,
unincorporated_sonomaNANAHRANANAoutres,132,3855,11922.1443253,97,unincorporated_sonoma,,,HRA,,,out,res,,,,,0.0,0.0,,,
unincorporated_sonomaNANANACoCNAoutNA,133,1560,16751.030979,97,unincorporated_sonoma,,,,CoC,,out,,,,,,0.0,0.0,,,
cloverdaleNANADISNANAinNA,134,78,229.843540457,97,cloverdale,,,DIS,,,in,,,,,,,,,,
unincorporated_contra_costaNANANACoCNAinunNA,135,330,1547.14113573,13,unincorporated_contra_costa,,,,CoC,,inun,,HS,,2.0,,,,,,
unincorporated_napaNANAHRANANAoutres,136,2558,23516.9549147,55,unincorporated_napa,,,HRA,,,out,res,,,,,0.0,0.0,,,
rio_vistaNANADISNANAinNA,137,326,1076.44719866,95,rio_vista,,,DIS,,,in,,,,,,,,,,
napaNANANANANAinNA,138,1075,2066.83413379,55,napa,,,,,,in,,,,,,,,,,
herculesNAtra3DISNANAinres,139,1425,179.224824594,13,hercules,,tra3,DIS,,,in,res,,,,,,,,,
unincorporated_san_mateoNANAHRADISNANAinunNA,140,1709,2052.20742675,81,unincorporated_san_mateo,,,HRADIS,,,inun,,HS,,2.0,,,,,,
haywardGGtra3DISNANAinNA,141,155,318.176058301,1,hayward,GG,tra3,DIS,,,in,,HM,,35.0,,,,,,
unincorporated_contra_costaNANAHRANANAinunres,142,6212,3136.04037829,13,unincorporated_contra_costa,,,HRA,,,inun,res,HS,,2.0,,,,,,
pinoleNANANANANAinres,143,1331,224.160380673,13,pinole,,,,,,in,res,,,,,,,,,
san_franciscoNAtra2bHRANANAinNA,144,162,76.3891814175,75,san_francisco,,tra2b,HRA,,,in,,,,,,,,,,
unincorporated_napaNANADISNANAoutNA,145,3353,292589.210573,55,unincorporated_napa,,,DIS,,,out,,,,,,0.0,0.0,,,
san_franciscoGGtra2bHRANANAinNA,146,478,218.247148849,75,san_francisco,GG,tra2b,HRA,,,in,,HM,,75.0,,,,,,
san_franciscoGGtra2bNANANAinNA,147,830,667.772013394,75,san_francisco,GG,tra2b,,,,in,,HM,,55.0,,,,,,
union_cityNAtra3NANANAinNA,148,295,122.905317664,1,union_city,,tra3,,,,in,,,,,,,,,,
oaklandNANANANAppainNA,149,29,684.570354549,1,oakland,,,,,ppa,in,,,HM,,,,,,,
oaklandNANADISNANAinNA,150,212,1019.34570294,1,oakland,,,DIS,,,in,,,,,,,,,,
union_cityGGNANANANAinres,151,498,60.0182961666,1,union_city,GG,,,,,in,res,,,35.0,,,,,,
lafayetteNANAHRANANAinres,152,5089,3573.52403544,13,lafayette,,,HRA,,,in,res,,,,,,,,,
san_franciscoNAtra2cHRADISNANAinNA,153,63,373.668305528,75,san_francisco,,tra2c,HRADIS,,,in,,,,,,,,,,
fairfieldNANADISNANAinNA,154,1818,10894.3057603,95,fairfield,,,DIS,,,in,,,,,,,,,,
unincorporated_sonomaNANAHRANANAexp3_aures,155,1846,5547.77412755,97,unincorporated_sonoma,,,HRA,,,exp3_au,res,,,,,0.0,0.0,,,
unincorporated_sonomaNANANACoCNAoutres,156,2636,2297.43147281,97,unincorporated_sonoma,,,,CoC,,out,res,,,,,0.0,0.0,,,
alamedaNAtra3HRADISNANAinNA,157,35,63.0323736435,1,alameda,,tra3,HRADIS,,,in,,,,,,,,,,
concordNANADISNANAinNA,158,1331,2496.14356841,13,concord,,,DIS,,,in,,,,,,,,,,
san_joseGGtra2cNACoCNAinres,159,2242,335.296924894,85,san_jose,GG,tra2c,,CoC,,in,res,,,,,,,,,
fremontNANAHRANANAinNA,160,1419,2719.96853794,1,fremont,,,HRA,,,in,,,,,,,,,,
south_san_franciscoNAtra3NANANAinNA,161,45,79.5328117038,81,south_san_francisco,,tra3,,,,in,,,,,,,,,,
oaklandNANANANANAinNA,162,93,1163.79083985,1,oakland,,,,,,in,,,,,,,,,,
oaklandNAtra3DISNANAinNA,163,181,474.104971132,1,oakland,,tra3,DIS,,,in,,,,,,,,,,
unincorporated_contra_costaGGNANACoCNAinunres,164,972,106.694319306,13,unincorporated_contra_costa,GG,,,CoC,,inun,res,,,,,,,,,
pittsburgNANADISCoCNAinres,165,3213,499.554682676,13,pittsburg,,,DIS,CoC,,in,res,,,,,,,,,
san_joseNAtra3NANANAinres,166,13568,2040.63697427,85,san_jose,,tra3,,,,in,res,,,,,,,,,
pittsburgGGNADISCoCNAinres,167,505,68.0355627662,13,pittsburg,GG,,DIS,CoC,,in,res,,,,,,,,,
livermoreNAtra3HRANANAinNA,168,184,190.186187822,1,livermore,,tra3,HRA,,,in,,,,,,,,,,
fremontNAtra3HRADISNANAinNA,169,79,38.1649180627,1,fremont,,tra3,HRADIS,,,in,,,,,,,,,,
walnut_creekGGtra2aHRANANAinNA,170,65,25.0409055003,13,walnut_creek,GG,tra2a,HRA,,,in,,HM,,75.0,,,,,,
palo_altoGGtra2bHRANANAinres,171,1770,310.550841492,85,palo_alto,GG,tra2b,HRA,,,in,res,HM,,100.0,,,,,,
novatoNANANANANAinNA,172,167,3542.48146926,41,novato,,,,,,in,,,,,,,,,,
san_franciscoNAtra3NANANAinNA,173,251,140.25281548,75,san_francisco,,tra3,,,,in,,,,,,,,,,
petalumaNANADISNANAinNA,174,361,1302.14084136,97,petaluma,,,DIS,,,in,,,,,,,,,,
haywardGGtra2aNANANAinNA,175,281,195.251627916,1,hayward,GG,tra2a,,,,in,,HM,,55.0,,,,,,
brentwoodNAtra3NANANAinres,176,173,25.2711305467,13,brentwood,,tra3,,,,in,res,,,,,,,,,
unincorporated_san_mateoNANAHRANANAoutNA,177,253,6979.54054603,81,unincorporated_san_mateo,,,HRA,,,out,,,,,,0.0,0.0,,,
hillsboroughNANAHRADISNANAinNA,178,189,592.011041078,81,hillsborough,,,HRADIS,,,in,,,,,,,,,,
san_joseNAtra3DISCoCNAinres,179,7469,1158.25814381,85,san_jose,,tra3,DIS,CoC,,in,res,,,,,,,,,
san_joseGGtra3NACoCNAinNA,180,755,673.538241026,85,san_jose,GG,tra3,,CoC,,in,,HM,,35.0,,,,,,
san_franciscoGGtra2bDISNANAinres,181,772,56.6723378559,75,san_francisco,GG,tra2b,DIS,,,in,res,HM,,55.0,,,,,,
oakleyNANADISCoCppainNA,182,84,350.487910168,13,oakley,,,DIS,CoC,ppa,in,,,HM,,,,,,,
pittsburgNANADISCoCNAinNA,183,174,1202.52998929,13,pittsburg,,,DIS,CoC,,in,,,,,,,,,,
herculesGGNADISNANAinNA,184,51,76.0347459657,13,hercules,GG,,DIS,,,in,,,,35.0,,,,,,
richmondNAtra3NACoCNAinNA,185,495,187.973723062,13,richmond,,tra3,,CoC,,in,,,,,,,,,,
unincorporated_contra_costaNANAHRANANAoutNA,186,231,13664.4079525,13,unincorporated_contra_costa,,,HRA,,,out,,,,,,0.0,0.0,,,
concordNANANANANAinres,187,2888,663.229295857,13,concord,,,,,,in,res,,,,,,,,,
walnut_creekNANAHRADISNANAinres,188,3380,1344.16272835,13,walnut_creek,,,HRADIS,,,in,res,,,,,,,,,
oaklandGGNANACoCNAinNA,189,759,743.626168152,1,oakland,GG,,,CoC,,in,,,,35.0,,,,,,
san_franciscoNAtra3NANANAinres,190,5440,323.741940211,75,san_francisco,,tra3,,,,in,res,,,,,,,,,
half_moon_bayNANADISNANAinNA,191,2030,1464.07603372,81,half_moon_bay,,,DIS,,,in,,,,,,,,,,
unincorporated_sonomaNANAHRADISNANAexpmax_npres,192,43,218.676427942,97,unincorporated_sonoma,,,HRADIS,,,expmax_np,res,,,,,0.0,0.0,,,
berkeleyGGtra3HRANANAinres,193,6394,733.078656953,1,berkeley,GG,tra3,HRA,,,in,res,HM,,50.0,,,,,,
alamedaGGtra3HRANANAinres,194,7497,842.734967435,1,alameda,GG,tra3,HRA,,,in,res,HM,,50.0,,,,,,
walnut_creekGGtra3HRADISNANAinres,195,97,48.685491734,13,walnut_creek,GG,tra3,HRADIS,,,in,res,HM,,50.0,,,,,,
napaNANANACoCNAinNA,196,137,154.531698181,55,napa,,,,CoC,,in,,,,,,,,,,
unincorporated_solanoNANADISNANAoutNA,197,1028,107499.273962,95,unincorporated_solano,,,DIS,,,out,,,,,,0.0,0.0,,,
walnut_creekNANAHRANANAinres,198,5592,1706.13177762,13,walnut_creek,,,HRA,,,in,res,,,,,,,,,
milpitasGGtra3DISNANAinNA,199,183,294.62562557,85,milpitas,GG,tra3,DIS,,,in,,HM,,35.0,,,,,,
novatoNANAHRADISNANAinres,200,3428,1181.40896976,41,novato,,,HRADIS,,,in,res,,,,,,,,,
unincorporated_sonomaNANADISNANAexpmax_npNA,201,454,28885.3580334,97,unincorporated_sonoma,,,DIS,,,expmax_np,,,,,,0.0,0.0,,,
unincorporated_sonomaNANADISNANAexp3_auNA,202,168,4984.34062987,97,unincorporated_sonoma,,,DIS,,,exp3_au,,,,,,0.0,0.0,,,
walnut_creekGGNAHRADISNANAinNA,203,121,335.495203377,13,walnut_creek,GG,,HRADIS,,,in,,HM,,50.0,,,,,,
santa_rosaGGNANANANAinres,204,25,213.584846946,97,santa_rosa,GG,,,,,in,res,,,35.0,,,,,,
brentwoodGGtra3DISNANAinres,205,9,21.8725520875,13,brentwood,GG,tra3,DIS,,,in,res,HM,,35.0,,,,,,
unincorporated_marinNANADISNANAoutres,206,2941,6448.87298559,41,unincorporated_marin,,,DIS,,,out,res,,,,,0.0,0.0,,,
berkeleyGGtra2aHRADISNANAinres,207,1004,117.276156578,1,berkeley,GG,tra2a,HRADIS,,,in,res,HM,,75.0,,,,,,
san_joseNANADISNANAinres,208,17595,3107.48867481,85,san_jose,,,DIS,,,in,res,,,,,,,,,
san_franciscoGGtra2cHRADISNANAinres,209,16922,1128.83355234,75,san_francisco,GG,tra2c,HRADIS,,,in,res,HM,,75.0,,,,,,
cloverdaleGGNANANANAinres,210,24,5.71323405727,97,cloverdale,GG,,,,,in,res,,,35.0,,,,,,
healdsburgNANAHRANANAinres,211,1404,434.18055278,97,healdsburg,,,HRA,,,in,res,,,,,,,,,
cloverdaleGGNADISNANAinres,212,465,99.0695511716,97,cloverdale,GG,,DIS,,,in,res,,,35.0,,,,,,
cloverdaleNANANANANAinres,213,483,107.962607463,97,cloverdale,,,,,,in,res,,,,,,,,,
san_franciscoGGtra3NACoCNAinNA,214,589,763.634863098,75,san_francisco,GG,tra3,,CoC,,in,,HM,,35.0,,,,,,
san_franciscoNAtra2cDISNAppainNA,215,274,358.481555174,75,san_francisco,,tra2c,DIS,,ppa,in,,,HM,,,,,,,
healdsburgNANANANANAinNA,216,452,443.974168462,97,healdsburg,,,,,,in,,,,,,,,,,
haywardNANADISCoCNAinres,217,2052,680.805482804,1,hayward,,,DIS,CoC,,in,res,,,,,,,,,
unincorporated_alamedaNAtra3HRANANAoutNA,218,35,24.2961751055,1,unincorporated_alameda,,tra3,HRA,,,out,,,,,,0.0,0.0,,,
danvilleGGNAHRADISNANAinres,219,339,75.4766046028,13,danville,GG,,HRADIS,,,in,res,HM,,50.0,,,,,,
american_canyonGGNANANANAinNA,220,51,134.537098619,55,american_canyon,GG,,,,,in,,,,35.0,,,,,,
redwood_cityNAtra3HRADISNANAinNA,221,96,464.677786252,81,redwood_city,,tra3,HRADIS,,,in,,,,,,,,,,
