OBJECTID,ID,ORIGGPLU,Shape_Leng,Shape_Area,FID_,OBJECTID_1,JURIS,COUNTY,LPSCODE,PLANDATE,ORIGGPLU_1,GENGPLU,max_far,max_height,max_dua,max_du_per,HS,HT,HM,OF_,HO,SC,IL,IW,IH,RS,RB,MR,MT,ME,ABAGGPLU,Acres,Shape_Le_1,Shape_Ar_1
47,60047,104 - High Density Residential,1659.450296,71567.46903,36566,36434,Emeryville,Alameda,104,Pre2002,104 - High Density Residential,Residential,4,0,135,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,5.790093754,725.0171049,23431.67
48,60048,104 - Industrial,7692.833945,830409.5376,36568,36436,Emeryville,Alameda,104,Pre2002,104 - Industrial,Industrial,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,104.3985623,3976.01,422486
49,60049,104 - Medium Density Residential,8547.383087,514813.9833,36571,36439,Emeryville,Alameda,104,Pre2002,104 - Medium Density Residential,Residential,1,0,35,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,27.61312818,1675.71,111746.37
50,60050,104 - Mixed Use,12044.93107,781336.2904,36573,36441,Emeryville,Alameda,104,Pre2002,104 - Mixed Use,Mixed Use,0,0,60,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,0.623656328,399.0847266,2523.85
51,60051,104 - Open Space,8227.046066,201496.6976,36576,36444,Emeryville,Alameda,104,Pre2002,104 - Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,4.313672243,1268.18,17456.8
52,60052,104 - Other Public Buildings,923.2119509,11794.9721,36579,36447,Emeryville,Alameda,104,Pre2002,104 - Other Public Buildings,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,1.447898807,389.8221428,5859.44
53,60053,104 - Parks,2505.482923,57651.39882,36583,36451,Emeryville,Alameda,104,Pre2002,104 - Parks,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.000421853,6.218750285,1.707234069
54,60054,104 - Schools,1386.669262,49443.03862,36591,36459,Emeryville,Alameda,104,Pre2002,104 - Schools,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,1.719891939,480.0247693,6960.16
55,60055,105 - Agriculture,16354.12296,3957171.583,36796,36687,Fremont,Alameda,105,Post2002,105 - Agriculture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,494.3579229,7064.69,2000595.51
56,60056,105 - Central Business District,7518.036711,1713746.666,30536,30435,Fremont,Alameda,105,Post2002,105 - Central Business District,Commercial,0.8,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,423.4760187,7518.04,1713746.67
57,60057,105 - Community Commercial,24024.88063,1682702.574,36800,36691,Fremont,Alameda,105,Post2002,105 - Community Commercial,Commercial,0.5,40,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,1.285705385,292.6274505,5203.06
58,60058,105 - General Industrial,26335.72931,9780715.53,36807,36698,Fremont,Alameda,105,Post2002,105 - General Industrial,Industrial,0.45,60,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,260.0348166,4374.21,1052323.59
59,60059,105 - HF OS,88117.12831,16978868.31,36813,36704,Fremont,Alameda,105,Post2002,105 - HF OS,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.228445748,136.655074,924.4869871
60,60060,105 - High Density Residential,26414.65706,1355316.031,36829,36720,Fremont,Alameda,105,Post2002,105 - High Density Residential,Residential,0,52,35,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,9.98488872,835.6687098,40407.42
61,60061,105 - HIL OS,49546.08894,9938524.8,36850,36741,Fremont,Alameda,105,Post2002,105 - HIL OS,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.395223591,175.0248551,1599.42
62,60062,105 - HVR COM,4016.617484,388444.1986,36861,36752,Fremont,Alameda,105,Post2002,105 - HVR COM,Commercial,0.25,40,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,54.23636475,2016.14,219486.77
63,60063,105 - I OS,331862.1061,99767177.01,36863,36754,Fremont,Alameda,105,Post2002,105 - I OS,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.711046615,382.3954533,2877.5
64,60064,105 - Light Industrial,16857.56429,1308734.556,36911,36802,Fremont,Alameda,105,Post2002,105 - Light Industrial,Industrial,0.45,60,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,2.198096518,455.0034828,8895.38
65,60065,105 - Low Density Residential,287715.6297,40739307.39,36920,36811,Fremont,Alameda,105,Post2002,105 - Low Density Residential,Residential,0,30,6,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.072187784,71.62173231,292.1341141
66,60066,105 - Medium Density Residential,125046.8017,9595689.742,36970,36861,Fremont,Alameda,105,Post2002,105 - Medium Density Residential,Residential,0,52,15,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,0.261727432,142.8453616,1059.17
67,60067,105 - Mixed Use-Neighborhood Commercial15-18,1019.322096,32125.60603,37040,36931,Fremont,Alameda,105,Post2002,105 - Mixed Use-Neighborhood Commercial15-18,Mixed Use: Residential & Commercial,0,0,18,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,4.795374235,568.3064175,19406.19
68,60068,105 - Mixed Use-Neighborhood Commercial18-23,2567.036705,103469.9318,37042,36933,Fremont,Alameda,105,Post2002,105 - Mixed Use-Neighborhood Commercial18-23,Mixed Use: Residential & Commercial,0,0,23,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,8.266377368,910.0442983,33452.84
69,60069,105 - Mixed Use-Neighborhood Commercial23-27,1559.444036,57393.39597,37045,36936,Fremont,Alameda,105,Post2002,105 - Mixed Use-Neighborhood Commercial23-27,Mixed Use: Residential & Commercial,0,0,27,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,9.166081366,944.7266997,37093.81
70,60070,105 - Mixed Use-Neighborhood Commercial27-35,818.425933,41257.99136,30537,30436,Fremont,Alameda,105,Post2002,105 - Mixed Use-Neighborhood Commercial27-35,Mixed Use: Residential & Commercial,0,0,35,0,0,1,1,1,1,1,0,0,,1,1,1,1,1,,10.19507131,818.425933,41257.99
71,60071,105 - Neighborhood Commercial,15908.07133,594894.0687,37047,36938,Fremont,Alameda,105,Post2002,105 - Neighborhood Commercial,Commercial,0.3,35,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,6.252678943,659.901131,25303.69
72,60072,105 - Office Commercial,13050.6107,431073.9834,37072,36963,Fremont,Alameda,105,Post2002,105 - Office Commercial,Commercial,0.3,35,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,1.757750087,348.5155488,7113.36
73,60073,105 - Open Space,36192.97179,3596170.376,37094,36985,Fremont,Alameda,105,Post2002,105 - Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,73.6534916,3524.45,298065.11
74,60074,105 - Private Open Space,47376.09704,2796582.241,37106,36997,Fremont,Alameda,105,Post2002,105 - Private Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2.091465307,406.2619421,8463.86
75,60075,105 - Public Facility,31323.86937,2186460.095,37123,37014,Fremont,Alameda,105,Post2002,105 - Public Facility,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,0.547706425,194.7937959,2216.49
76,60076,105 - R IND,42902.08486,11464967.25,37153,37044,Fremont,Alameda,105,Post2002,105 - R IND,Industrial,0.45,60,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,1542.95,14806.82,6244100.83
77,60077,105 - TH COM,13199.34865,575048.9658,37161,37052,Fremont,Alameda,105,Post2002,105 - TH COM,Commercial,0.3,35,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,11.83574031,863.5854408,47897.55
78,60078,105 - Very High Density Residential,14717.90672,1058478.593,37181,37072,Fremont,Alameda,105,Post2002,105 - Very High Density Residential,Residential,0,52,70,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,1.110690531,290.3255168,4494.81
79,60079,105 - Very Low Density Residential,47006.95378,5948067.846,37193,37084,Fremont,Alameda,105,Post2002,105 - Very Low Density Residential,Residential,0,30,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,6.635719585,984.9552259,26853.81
80,60080,106 - Baylands,35413.48759,13150440.53,37208,37099,Hayward,Alameda,106,Post2002,106 - Baylands,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2851.09,27408.08,11537932.22
81,60081,106 - City Center - High Density Residential,4614.894917,108424.599,37209,37100,Hayward,Alameda,106,Post2002,106 - City Center - High Density Residential,Residential,0,55,65,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,0.95926998,251.842074,3882.03
82,60082,106 - City Center - Retail and Office Commercial,10492.84742,250357.5571,37220,37111,Hayward,Alameda,106,Post2002,106 - City Center - Retail and Office Commercial,Commercial,0,55,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,1.247806043,298.6380421,5049.69
83,60083,106 - Commercial/High Density Residential,36246.10818,885203.9027,36230,37188,Hayward,Alameda,106,Post2002,106 - Commercial/High Density Residential,Mixed Use: Residential & Commercial,0,0,34,0,1,1,1,1,1,1,0,0,,1,1,1,1,1,,1.151377711,289.8620052,4659.46
84,60084,106 - County/No Designation,21634.68676,154487.6336,37307,37213,Hayward,Alameda,106,Post2002,106 - County/No Designation,Other/Unknown,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.000559312,7.351904308,2.26348069
85,60085,106 - General Commercial,17036.96705,500810.3687,37371,37277,Hayward,Alameda,106,Post2002,106 - General Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,10.99326608,874.1967931,44488.16
86,60086,106 - High Density Residential,74790.34471,1994319.063,37397,37303,Hayward,Alameda,106,Post2002,106 - High Density Residential,Residential,0,40,34,0,0,1,1,0,0,0,0,0,,0,0,0,0,0,,5.976305135,1322.65,24185.25
87,60087,106 - Industrial Corridor,161506.4921,12587147.43,37526,37432,Hayward,Alameda,106,Post2002,106 - Industrial Corridor,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,23.27194063,1480.68,94178.2
88,60088,106 - Limited Medium Density Residential,45510.7209,1169897.176,37607,37513,Hayward,Alameda,106,Post2002,106 - Limited Medium Density Residential,Residential,0,40,12,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,9.32139E-05,3.443946588,0.377202285
89,60089,106 - Limited Open Space,24893.17958,1326579.95,37689,37595,Hayward,Alameda,106,Post2002,106 - Limited Open Space,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.069190387,209.0356846,279.9993818
90,60090,106 - Low Density Residential,499805.0534,12372185.81,37710,37616,Hayward,Alameda,106,Post2002,106 - Low Density Residential,Residential,0,30,8.7,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.009272499,40.52407954,37.52424963
91,60091,106 - Medium Density Residential,180190.0201,4483762.392,38405,38311,Hayward,Alameda,106,Post2002,106 - Medium Density Residential,Residential,0,40,17,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,,1.057866208,360.5385902,4281.04
92,60092,106 - Mixed Industrial,6552.118489,281538.1451,38736,38642,Hayward,Alameda,106,Post2002,106 - Mixed Industrial,Industrial,0,40,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,2.635821448,429.8692547,10666.8
93,60093,106 - Parks and Recreation,136542.9754,22947035.63,38744,38650,Hayward,Alameda,106,Post2002,106 - Parks and Recreation,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,2.639464019,393.3855973,10681.53
94,60094,106 - Public and Quasi-Public,69889.43213,5267781.543,38836,38742,Hayward,Alameda,106,Post2002,106 - Public and Quasi-Public,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,9.9391152,802.4880799,40222.17
95,60095,106 - Public and Quasi-Public/Industrial Corridor,2675.628526,121174.8308,30538,30437,Hayward,Alameda,106,Post2002,106 - Public and Quasi-Public/Industrial Corridor,Mixed Use: Other,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,29.94295261,2675.63,121174.83
96,60096,106 - Retail and Office Commercial,47263.44827,1682014.524,38901,38807,Hayward,Alameda,106,Post2002,106 - Retail and Office Commercial,Commercial,0,55,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,0.381569984,160.367276,1544.16
97,60097,106 - Rural Estate Density Residential,2878.549218,272442.5325,38996,38902,Hayward,Alameda,106,Post2002,106 - Rural Estate Density Residential,Residential,0,30,1,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,0.423714479,342.9416642,1714.71
98,60098,106 - San Francisco Bay,17157.55472,3855112.153,30539,30438,Hayward,Alameda,106,Post2002,106 - San Francisco Bay,Water,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,952.6189478,17157.55,3855112.15
99,60099,106 - Suburban Density Residential,79281.43651,2866635.481,38998,38904,Hayward,Alameda,106,Post2002,106 - Suburban Density Residential,Residential,0,30,4.3,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,,17.80782174,2581.94,72065.7
100,60100,107 - Agriculture Preserve,1198.354638,30463.57823,39047,38953,Livermore,Alameda,107,,107 - Agriculture Preserve,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,1.712537356,482.197184,6930.4
101,60101,107 - Agriculture/Viticulture,22603.50464,3379331.986,39049,38955,Livermore,Alameda,107,,107 - Agriculture/Viticulture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0.019017014,36.09265403,76.95864593
102,60102,107 - Business and Commercial Park,35172.27566,2848029.495,39059,38965,Livermore,Alameda,107,,107 - Business and Commercial Park,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,1.319875289,418.779774,5341.34
103,60103,107 - Community Facilities,43979.88801,4672572.218,39079,38985,Livermore,Alameda,107,,107 - Community Facilities,Education/Public/Semi-Public,0,0,0,0,0,0,0,0,0,1,0,0,,0,0,0,0,0,,9.929077599,854.3747034,40181.55
104,60104,107 - Community Serving General Commercial,9887.650899,577341.6627,39111,39017,Livermore,Alameda,107,,107 - Community Serving General Commercial,Commercial,0,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,19.08449225,1237.5,77232.2
105,60105,107 - High Intensity Industrial,42133.93914,4025030.051,39120,39026,Livermore,Alameda,107,,107 - High Intensity Industrial,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,,3.155203856,489.2749155,12768.66
106,60106,107 - Highway Commercial,4867.473576,174547.0138,39136,39042,Livermore,Alameda,107,,107 - Highway Commercial,Commercial,0.3,0,0,0,0,0,0,1,1,1,0,0,,1,1,0,1,1,,1.991885603,369.4327883,8060.87
107,60107,107 - Hillside Conservation,7998.996419,1060324.79,39142,39048,Livermore,Alameda,107,,107 - Hillside Conservation,Parks/Open Space,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,19.87213499,1322.79,80419.67
108,60108,107 - Limited Agriculture,10774.83925,2011159.062,39145,39051,Livermore,Alameda,107,,107 - Limited Agriculture,Agriculture/Resource Extraction,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,21.0917625,1169.98,85355.31
109,60109,107 - Low Intensity Industrial,39572.57411,2851349.743,39147,39053,Livermore,Alameda,107,,107 - Low Intensity Industrial,Industrial,0,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,,16.78798416,1767.73,67938.57
